Марка;Название;Адрес;Телефон;Сайт;Широта;Долгота
Daewoo;Евро Трак Сервис;г.Одинцово, ул.Маковского, дом 7;"+7 (495) 644-37-88 
+7 (495) 983-04-62 доб 1,2
+7 (916) 636-12-13";http://hyundai-ets.ru/;55.659967;37.28542
FORD;ПБС Тракс;МО, Раменский р-н, пос. Ульянино (73 км Рязанского ш.);(495) 660-06-20, 730-89-25;http://www.pbs-ford.ru/;55.35032;38.429353
FORD;РусБизнесАвто Форд (РБА);Москва, Комсомольская ул., д.3А;"(495) 598-58-90
(495) 598-58-91
(495) 598-58-92";http://www.rba-trucks.ru/;55.950554;37.344062
FORD;СовИнтерАвтоСервис;Москва, Симферопольское шоссе, д.3., (пересечение МКАД и Варшавского шоссе);"8 (495) 411-26-33
8-800-775-40-81";http://www.sias-ford.ru/;55.569393;37.602148
FORD;Сэйф Тракс;Электросталь, ул. Красная д. 15, заезд на территорию с ул. Жулябина;"8 (496) 576-05-38
8 (496) 576-05-67
(495) 981-46-81";http://www.safetrucks.ru/;55.800504;38.446628
FORD;Форд Трак Центр - Север;Ивантеевка, Ивантеевское шоссе д. 1;"+7 (495) 993-46-46 добавочные: 1188, 1128
+7 (495) 993-39-01
(963) 644-27-18
(964) 570-99-21";http://www.fordtrucksever.ru/;55.98294;37.886258
HINO;ИларАвто;Московская область,  85 км МКАД, проезд Автомобильный, вл. 1, стр. 1;+7 (495) 285-05-10;http://www.ilarauto-hino.ru/;55.914696;37.589248
HINO;АВТ Трейд;Московская область., Солнечногорский район, шоссе Москва - Санкт-Петербург, 15 км от МКАД;" +7 (495) 995-6131 (доб. 113, 112) 
+7 (985) 643-7120
+7 (985) 998-1309
+7 (499) 940-90-47";http://www.avt-hino.ru/;55.978312;37.299497
HINO;ООО «АТП РУС» (АвтоСпецЦентр);Москва, ул. Котляковская, д. 3;+7 (495) 745-68-68;http://www.hino-avto.ru/;55.643185;37.63243
HINO;Хино-Сервис;Москва, ул. Озерная, д. 46, корп. 2, стр. 3;+7 (495) 657?90?36;http://www.hino-service.ru/;55.669742;37.439149
